61,100
257,184
17,180
297,9
128,92
64,191
128,262
127,75
140,87
205,122
263,206
115,86
93,269
175,9
275,28
133,297
140,99
83,238
20,299
266,4
94,93
148,299
150,267
8,100
113,276
83,246
31,294
298,164
68,95
47,51
298,36
134,111
103,45
220,48
121,51
88,157
80,162
251,108
272,53
105,89
48,121
138,190
176,252
40,2
178,82
222,2
230,247
150,193
211,17
159,7
272,86
220,273
150,102
88,298
41,102
153,54
46,224
281,9
267,35
248,175
33,25
31,127
116,263
74,176
48,166
233,291
73,14
95,164
6,128
213,5
133,176
39,143
92,62
140,206
208,31
110,68
11,73
54,142
88,107
18,188
157,218
245,223
102,2
15,140
150,165
113,188
16,281
65,276
153,130
75,269
189,151
174,105
90,214
269,107
178,220
227,266
25,174
5,7
287,1
70,297
0,298
145,225
295,244
295,100
86,173
145,275
222,230
120,64
109,102
43,150
295,108
265,171
16,66
244,246
34,44
122,136
8,204
173,172
105,252
209,170
190,269
235,39
276,157
147,60
3,150
25,62
4,184
29,219
164,109
33,112
173,60
124,181
73,68
234,224
49,4
152,38
212,49
250,234
193,287
253,207
215,249
88,126
143,250
227,278
139,23
250,272
276,79
38,158
88,200
55,115
286,196
28,93
280,289
288,52
193,248
197,275
232,15
126,169
31,101
201,160
211,197
287,277
65,164
68,244
253,261
230,146
205,152
224,70
63,204
210,112
71,116
40,266
84,137
206,266
1,164
92,232
190,50
192,210
269,239
162,43
85,2
185,293
118,119
201,86
297,50
164,174
119,75
164,280
256,18
261,276
239,282
264,83
255,133
216,84
26,38
124,243
211,295
219,174
79,216
290,169
250,161
151,73
67,124
61,87
284,237
25,121
159,26
12,236
199,72
150,286
193,159
5,139
210,205
10,42
169,224
57,286
244,3
10,60
193,80
242,292
63,67
31,236
190,229
125,152
166,134
254,250
72,136
95,75
104,169
8,228
186,198
18,271
78,187
193,98
43,237
166,86
84,66
136,136
159,182
201,141
83,45
137,33
84,145
251,118
285,33
175,1
297,64
283,164
132,58
227,86
246,40
156,120
174,46
5,280
295,201
165,263
82,254
177,90
275,229
187,65
25,275
101,263
207,276
185,206
175,193
146,29
197,107
83,278
207,189
183,184
164,294
123,35
146,19
255,298
248,151
194,202
110,111
151,205
65,32
198,40
231,165
214,40
234,29
103,141
203,287
213,218
142,283
236,90
114,244
168,25
23,196
94,35
137,168
299,285
65,52
25,146
56,16
186,126
49,195
271,145
277,95
103,73
238,273
16,157
224,216
25,70
265,222
228,176
261,151
288,118
156,172
265,195
153,145
15,210
131,9
115,219
286,72
121,211
243,18
235,3
52,36
231,188
52,154
257,7
264,121
245,186
216,282
99,55
30,138
55,186
232,99
222,62
242,258
193,183
260,48
218,30
292,188
224,133
127,105
85,27
141,263
179,28
196,240
185,15
210,137
228,49
289,149
267,296
98,212
53,299
163,255
